CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
200008961,SHOPLIFTING,3074,RETAIL FRAUD THEFT 2ND DEGREE,A,800 BLOCK BRIARWOOD CIR,ANN ARBOR,2020-03-01 11:30:00,LARCENY - RETAIL FRAUD,-83.74631519999997,42.240297800000064
201000081,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,"400 BLOCK W WASHINGTON ST, ANN ARBOR, MI 48103",ANN ARBOR,2020-03-01 12:02:30,LARCENY - ALL OTHER,-83.75294679999996,42.28091920000003
200009036,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,300 BLOCK S ASHLEY ST,ANN ARBOR,2020-03-02 00:45:00,LARCENY - FROM AUTO (LFA),-83.75015670099998,42.27883980000007
200009025,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3000 BLOCK CHELSEA CIR,ANN ARBOR,2020-03-01 21:51:00,ASSAULT - SIMPLE,-83.71325800099999,42.24027460000008
200009004,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3500 BLOCK PLATT RD,ANN ARBOR,2020-03-01 19:00:00,ASSAULT - SIMPLE,-83.69966029999995,42.23717559900007
200008974,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,700 BLOCK E KINGSLEY ST,ANN ARBOR,2020-03-01 03:30:00,LARCENY - FROM AUTO (LFA),-83.74018789999997,42.284691499000076
200009059,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,200 BLOCK THIRD ST,ANN ARBOR,2020-03-02 02:30:00,LARCENY - FROM AUTO (LFA),-83.75346539999998,42.280084500000044
200009080,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,100 BLOCK BRIARWOOD CIR,ANN ARBOR,2020-03-02 11:30:00,LARCENY - ALL OTHER,-83.74757490099995,42.24036790000008
200009072,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,2200 BLOCK PITTSFIELD BLVD,ANN ARBOR,2020-03-02 10:11:00,LARCENY - RETAIL FRAUD,-83.69088639999995,42.25526830000007
201000086,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1100 BLOCK W. WASHINGTON ST.,ANN ARBOR,2020-03-02 03:00:00,LARCENY - FROM AUTO (LFA),-83.76213569999999,42.281093500000054
200009225,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,1300 BLOCK BROOKFIELD DR,ANN ARBOR,2020-03-03 14:58:00,ASSAULT - SIMPLE,-83.76105109999997,42.24793720000008
200009285,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,16000 BLOCK E MICHIGAN,ANN ARBOR,2020-03-04 00:01:00,OBSTRUCTING JUSTICE,-83.74303779999997,42.28082560000007
200009284,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3100 BLOCK HOMESTEAD COMMONS DR,ANN ARBOR,2020-03-03 23:37:30,ASSAULT - SIMPLE,-83.71640649999995,42.24268180000007
200009385,ALL OTHER,5309,HARASSING COMMUNICATIONS,B,200 BLOCK THIRD ST,ANN ARBOR,2020-03-04 16:01:00,PUBLIC PEACE,-83.75346539999998,42.27970090000008
200009375,INTIMIDATION,1316,INTIMIDATION (ALSO INCLUDES INTERFERING WITH 911 CALL),A,600 BLOCK HIDDEN VALLEY CLUB DR,ANN ARBOR,2020-03-04 15:00:00,INTIMIDATION / STALKING,-83.74224799999996,42.24629999900003
200009357,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,700 BLOCK W WASHINGTON ST,ANN ARBOR,2020-03-04 06:00:00,DAMAGE TO PROPERTY,-83.75661839899999,42.28094660000005
200009330,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,S DIVISION ST & E WASHINGTON ST,ANN ARBOR,2020-03-03 23:00:00,ASSAULT - SIMPLE,-83.74401589999997,42.28035169900005
200009196,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,2300 BLOCK GREEN RD,ANN ARBOR,2020-03-03 11:38:00,FRAUD,-83.68977000099994,42.30882410000004
200009118,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,300 BLOCK BRIARWOOD CIR,ANN ARBOR,2020-03-02 16:38:00,LARCENY - RETAIL FRAUD,-83.74734699999999,42.23884000100003
200009405,COUNTERFEITING/FORGERY,2501,FORGERY OF CHECKS,A,300 BLOCK N STATE ST,ANN ARBOR,2020-03-02 14:40:00,FORGERY / COUNTERFEITING,-83.74080619999995,42.28357240100007
201000083,ROBBERY,1210,ROBBERY - FORCIBLE PURSESNATCHING,A,500 BLOCK E LIBERTY ST,ANN ARBOR,2020-03-01 02:02:30,ROBBERY,-83.74242869899996,42.27917579900003
200009411,RUNAWAY,7070,RUNAWAY,B,1700 BLOCK GREEN RD,ANN ARBOR,2020-03-02 11:00:00,MISSING PERSON / RUNAWAY,-83.69300800099995,42.299072900000056
200009366,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,1600 BLOCK BROADWAY ST,ANN ARBOR,2020-03-04 15:01:00,FRAUD,-83.72540589999994,42.29680110000004
201000088,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,"BLAKE TRANSIT CENTER, 328 S 5TH AVE",ANN ARBOR,2020-03-01 12:30:00,LARCENY - ALL OTHER,-83.74655259999997,42.27841090000004
200009255,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,100 BLOCK PACKARD ST,ANN ARBOR,2020-03-03 19:31:00,LARCENY - ALL OTHER,-83.74850739899995,42.276189499000054
200009424,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,300 BLOCK W HURON ST,ANN ARBOR,2020-03-04 20:07:00,PUBLIC PEACE,-83.75166069999995,42.28180800000007
200009434,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,400 BLOCK S FIRST ST,ANN ARBOR,2020-03-04 12:30:00,LARCENY - ALL OTHER,-83.75141169899996,42.27711500100003
200009128,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,300 BLOCK RIVERVIEW DR,ANN ARBOR,2020-03-01 14:15:00,DAMAGE TO PROPERTY,-83.70772920099995,42.27720000000005
200009431,DRIVING UNDER THE INFLUENCE,8041,OPERATING UNDER THE INFLUENCE OF ALCOHOL / LIQUOR OWI,B,PLYMOUTH RD & BROADWAY ST,ANN ARBOR TWP,2020-03-04 21:18:00,OUI OF LIQUOR / DRUGS,-83.72138339999998,42.29797299900008
200009330,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,S DIVISION ST & E WASHINGTON ST,ANN ARBOR,2020-03-03 23:00:00,LARCENY - ALL OTHER,-83.74401589999997,42.28035169900005
200009535,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,100 BLOCK E WILLIAM ST,ANN ARBOR,2020-03-05 16:26:00,PUBLIC PEACE,-83.74784359999995,42.277687600000036
200009504,ALL OTHER,5011,PAROLE VIOLATION,B,E LIBERTY ST & S STATE ST,ANN ARBOR,2020-03-05 13:09:00,OBSTRUCTING JUSTICE,-83.74080789899995,42.27933520000005
200009578,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,300 BLOCK S FIFTH AVE,ANN ARBOR,2020-03-05 21:50:00,OBSTRUCTING JUSTICE,-83.74640339999996,42.27834700000005
200009553,ALL OTHER,5309,HARASSING COMMUNICATIONS,B,3300 BLOCK CREEK DR,ANN ARBOR,2020-03-05 14:00:00,PUBLIC PEACE,-83.69776399999995,42.240125600000056
200009643,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,3100 BLOCK EARLMOORE LN,ANN ARBOR,2020-03-06 01:52:30,LARCENY - FROM AUTO (LFA),-83.69718269999998,42.31841160100004
201000090,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2600 BLOCK LOOKOUT CIR,ANN ARBOR,2020-03-04 14:00:00,LARCENY - FROM AUTO (LFA),-83.70175029899997,42.24848100100007
200009607,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,3100 BLOCK BOARDWALK DR,ANN ARBOR,2020-03-06 00:36:00,OBSTRUCTING JUSTICE,-83.73394239999999,42.241743701000075
200009624,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2900 BLOCK BIRCH HOLLOW DR,ANN ARBOR,2020-03-06 04:55:00,ASSAULT - SIMPLE,-83.72275619999994,42.23809810000006
200009623,DRIVING UNDER THE INFLUENCE,8041,OPERATING UNDER THE INFLUENCE OF ALCOHOL / LIQUOR OWI,B,RIDGEMOR DR & W LIBERTY ST,ANN ARBOR,2020-03-06 04:53:00,OUI OF LIQUOR / DRUGS,-83.76645100099995,42.27630319900004
200009581,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,300 BLOCK MAPLE RIDGE ST,ANN ARBOR,2020-03-05 02:30:00,LARCENY - ALL OTHER,-83.76035199899997,42.28429489900003
200009612,DRIVING UNDER THE INFLUENCE,8041,OPERATING UNDER THE INFLUENCE OF ALCOHOL / LIQUOR OWI,B,E LIBERTY ST & S FOURTH AVE,ANN ARBOR,2020-03-06 01:27:00,OUI OF LIQUOR / DRUGS,-83.74734749999999,42.27953340000005
200009678,ALL OTHER,5591,INHALATION OF CHEMICAL AGENTS,B,2200 BLOCK W STADIUM BLVD,ANN ARBOR,2020-03-06 13:34:30,HEALTH AND SAFETY,-83.77748210099998,42.27602029900004
200009678,ALL OTHER,5012,PROBATION VIOLATION,B,2200 BLOCK W STADIUM BLVD,ANN ARBOR,2020-03-06 13:34:30,OBSTRUCTING JUSTICE,-83.77748210099998,42.27602029900004
200009727,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3800 BLOCK VARSITY DR,ANN ARBOR,2020-03-06 19:12:00,ASSAULT - SIMPLE,-83.72663779899995,42.23213180000005
200009694,RUNAWAY,7070,RUNAWAY,B,2700 BLOCK FULLER RD,ANN ARBOR,2020-03-06 14:54:00,MISSING PERSON / RUNAWAY,-83.70242599999995,42.280862900000045
200009734,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,400 BLOCK E EISENHOWER PKWY,ANN ARBOR,2020-03-06 18:15:00,LARCENY - ALL OTHER,-83.74298889999994,42.245078001000024
200009778,DRIVING UNDER THE INFLUENCE,8041,OPERATING UNDER THE INFLUENCE OF ALCOHOL / LIQUOR OWI,B,MILLER AVE & N MAIN ST,ANN ARBOR,2020-03-07 02:25:00,OUI OF LIQUOR / DRUGS,-83.74842689999997,42.28325870100008
200009779,DRIVING UNDER THE INFLUENCE,8041,OPERATING UNDER THE INFLUENCE OF ALCOHOL / LIQUOR OWI,B,E WASHINGTON ST & S STATE ST,ANN ARBOR,2020-03-07 02:32:00,OUI OF LIQUOR / DRUGS,-83.74085540099998,42.28025720000005
200008982,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,2300 BLOCK JACKSON AVE,ANN ARBOR,2020-03-01 15:51:00,DAMAGE TO PROPERTY,-83.77924459999997,42.280124400000034
200009767,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,500 BLOCK HIGH ST,ANN ARBOR,2020-03-06 18:30:00,DAMAGE TO PROPERTY,-83.74195699999996,42.28641700000003
200009767,BURGLARY/BREAKING & ENTERING,2202,B&E - BURGLARY - FORCED ENTRY - RESIDENCE - HOME INVASION,A,500 BLOCK HIGH ST,ANN ARBOR,2020-03-06 18:30:00,BURGLARY - RESIDENTIAL,-83.74195699999996,42.28641700000003
200009841,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2100 BLOCK JACKSON RD,ANN ARBOR,2020-03-07 16:31:00,ASSAULT - SIMPLE,-83.80017520099994,42.285213800000065
200009827,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,LANCASHIRE DR & TRAVER BLVD,ANN ARBOR,2020-03-07 14:10:00,ASSAULT - SIMPLE,-83.71279349999998,42.31116560000004
200009788,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,1700 BLOCK DAVID CT,ANN ARBOR,2020-03-07 08:30:00,ASSAULT - SIMPLE,-83.73197110099994,42.299964300000056
200009805,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,2800 BLOCK S MAIN ST,ANN ARBOR,2020-03-06 12:07:30,LARCENY - ALL OTHER,-83.74854890099994,42.24545799900005
200009837,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,400 BLOCK W WASHINGTON ST,ANN ARBOR,2020-03-07 15:00:00,LARCENY - ALL OTHER,-83.75294679999996,42.28091920000003
200009815,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,400 BLOCK S DIVISION ST,ANN ARBOR,2020-03-06 16:00:00,LARCENY - FROM AUTO (LFA),-83.74450339899994,42.27656570000005
200009698,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,0 BLOCK WESTBURY CT,ANN ARBOR,2020-03-05 12:00:00,FRAUD,-83.70594289999997,42.31439990000007
200009903,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,500 BLOCK E LIBERTY ST,ANN ARBOR,2020-03-08 01:20:00,ASSAULT - SIMPLE,-83.74242869899996,42.27917579900003
200009896,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,S DIVISION ST & E LIBERTY ST,ANN ARBOR,2020-03-07 23:59:00,PUBLIC PEACE,-83.74405699899995,42.27943799900004
200009906,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,300 BLOCK E MADISON ST,ANN ARBOR,2020-03-07 09:00:00,LARCENY - FROM AUTO (LFA),-83.74475239899994,42.27397090100004
200009846,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,3800 BLOCK GREEN BRIER BLVD,ANN ARBOR,2020-03-07 17:35:00,DAMAGE TO PROPERTY,-83.68703479999994,42.29804999900006
200009990,BURGLARY/BREAKING & ENTERING,2202,B&E - BURGLARY - FORCED ENTRY - RESIDENCE - HOME INVASION,A,500 BLOCK HIGH ST,ANN ARBOR,2020-03-07 08:00:00,BURGLARY - RESIDENTIAL,-83.74195699999996,42.28641700000003
200009971,SHOPLIFTING,3074,RETAIL FRAUD THEFT 2ND DEGREE,A,900 BLOCK W EISENHOWER,ANN ARBOR,2020-03-08 16:40:00,LARCENY - RETAIL FRAUD,-83.75800810099997,42.248429601000055
201000097,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,3500 BLOCK WASHTENAW ST,ANN ARBOR,2020-03-07 03:40:00,LARCENY - FROM AUTO (LFA),-83.68867690099995,42.25452380000007
200010012,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,3800 BLOCK GREEN BRIER BLVD,ANN ARBOR,2020-03-09 00:28:00,DAMAGE TO PROPERTY,-83.68703479999994,42.29804999900006
200010038,BURGLARY/BREAKING & ENTERING,2203,B&E - BURGLARY - FORCED ENTRY - NON-RESIDENCE,A,3200 BLOCK BOARDWALK DR,ANN ARBOR,2020-03-08 00:00:00,BURGLARY - ALL OTHER,-83.73211629999997,42.24041570000003
201000095,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,400 BLOCK N DIVISION ST,ANN ARBOR,2020-03-06 10:30:00,LARCENY - ALL OTHER,-83.74429729899998,42.283942800000034
200010108,INTIMIDATION,1380,"TELEPHONE USED FOR HARASSMENT, THREATS",A,2300 BLOCK E STADIUM BLVD,ANN ARBOR,2020-03-09 14:28:00,INTIMIDATION / STALKING,-83.71530580099994,42.25987310000005
201000092,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,400 BLOCK S MAPLE RD,ANN ARBOR,2020-03-07 18:15:30,LARCENY - ALL OTHER,-83.78214749999995,42.277596800000026
200010041,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,700 BLOCK MILLER AVE,ANN ARBOR,2020-03-01 20:00:00,LARCENY - ALL OTHER,-83.75588299999998,42.284474000000046
201000096,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,300 BLOCK S. STATE ST,ANN ARBOR,2020-03-08 18:42:30,LARCENY - ALL OTHER,-83.74101789899998,42.27852349900007
200010065,INTIMIDATION,1316,INTIMIDATION (ALSO INCLUDES INTERFERING WITH 911 CALL),A,200 BLOCK E BARTON LN,ANN ARBOR,2020-03-09 12:00:00,INTIMIDATION / STALKING,-83.74213819899995,42.30818730000004
200010092,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,400 BLOCK CROSS ST,ANN ARBOR,2020-03-07 11:35:00,MOTOR VEHICLE THEFT / FRAUD,-83.74396399999995,42.27270039900003
200010143,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,400 BLOCK S MAPLE RD,ANN ARBOR,2020-03-09 21:52:00,LARCENY - RETAIL FRAUD,-83.78214749999995,42.277596800000026
200010098,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,2700 BLOCK HEATHER WAY,ANN ARBOR,2020-03-05 13:00:00,FRAUD,-83.70664940099994,42.26597970000006
201000100,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2999,DAMAGE TO PROPERTY - MDOP (OTHER),A,600 BLOCK LAWRENCE ST,ANN ARBOR,2020-03-09 03:00:00,DAMAGE TO PROPERTY,-83.74120889999995,42.28395230000007
200010167,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,200 BLOCK S STATE ST,ANN ARBOR,2020-03-10 03:51:00,LARCENY - FROM AUTO (LFA),-83.74118379999999,42.27968320000008
200009926,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2699,FRAUD (OTHER),A,2200 BLOCK FULLER CT,ANN ARBOR,2020-03-08 11:40:00,FRAUD,-83.71697899899993,42.285183001000064
201000098,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,2500 BLOCK JACKSON AVE,ANN ARBOR,2020-03-09 14:30:00,LARCENY - ALL OTHER,-83.78268709899999,42.278594601000066
200010180,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,2300 BLOCK MANCHESTER RD,ANN ARBOR,2020-03-10 02:45:00,DAMAGE TO PROPERTY,-83.71466230099998,42.25387120000005
200010069,CREDIT CARD/ATM,2605,FRAUD - ILLEGAL USE OF CREDIT CARD,A,300 BLOCK E HURON ST,ANN ARBOR,2020-03-09 13:18:00,FRAUD,-83.74572750099998,42.28182970000006
200010227,COUNTERFEITING/FORGERY,2507,POSSESS COUNTERFEITED -ANY OBJECT,A,S STATE ST & MALL DR,ANN ARBOR,2020-03-10 14:24:00,FORGERY / COUNTERFEITING,-83.73937110099996,42.24240110000005
200010225,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,300 BLOCK S STATE ST,ANN ARBOR,2020-03-10 14:18:00,OBSTRUCTING JUSTICE,-83.74101789899998,42.27852349900007
200010262,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,1900 BLOCK CORONADA DR,ANN ARBOR,2020-03-10 01:22:30,DAMAGE TO PROPERTY,-83.77275409999999,42.263986000000045
200010299,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,0 BLOCK CARROT WAY,ANN ARBOR,2020-03-05 07:30:00,ASSAULT - SIMPLE,-83.72785029999994,42.31707970100007
200010267,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2700 BLOCK HIKONE RD,ANN ARBOR,2020-03-10 20:08:00,ASSAULT - SIMPLE,-83.71187459999999,42.243791000000044
200010298,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,300 BLOCK E JEFFERSON ST,ANN ARBOR,2020-03-11 05:00:00,LARCENY - FROM AUTO (LFA),-83.74541629999999,42.27596340000008
200010203,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2300 BLOCK FERNWOOD AVE,ANN ARBOR,2020-03-10 04:55:00,LARCENY - FROM AUTO (LFA),-83.69292709999996,42.25373980000006
200010250,ALL OTHER,7385,NUISANCE ORD - ILLEGAL DUMPING,B,300 BLOCK W HOOVER AVE,ANN ARBOR,2020-03-03 05:30:00,OTHER - ORDINANCE VIOLATIONS,-83.75226219999996,42.269661900000074
200010257,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,300 BLOCK BRIARWOOD CIR,ANN ARBOR,2020-03-10 17:53:00,LARCENY - RETAIL FRAUD,-83.74734699999999,42.23884000100003
200010280,DRUG/NARCOTIC VIOLATIONS,3599,DANGEROUS DRUGS (OTHER),A,PACKARD ST & E STADIUM BLVD,ANN ARBOR,2020-03-10 22:20:00,DRUG OFFENSES,-83.72987859999995,42.26077150000003
201000101,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,900 BLOCK S STATE ST,ANN ARBOR,2020-03-10 09:11:00,LARCENY - FROM AUTO (LFA),-83.74091409999994,42.27036650000008
200010265,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,300 BLOCK W HURON ST,ANN ARBOR,2020-03-01 12:00:00,LARCENY - ALL OTHER,-83.75166069999995,42.28180800000007
200010214,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,3000 BLOCK SIGNATURE BLVD,ANN ARBOR,2020-03-10 12:54:00,FRAUD,-83.75351099899996,42.23987100100004
200010376,BURGLARY/BREAKING & ENTERING,2203,B&E - BURGLARY - FORCED ENTRY - NON-RESIDENCE,A,3200 BLOCK BOARDWALK,ANN ARBOR,2020-03-08 00:00:00,BURGLARY - ALL OTHER,-83.73367849899995,42.24080610000004
200010233,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,1900 BLOCK CORONADA DR,ANN ARBOR,2020-03-10 14:50:00,OBSTRUCTING JUSTICE,-83.77275409999999,42.263986000000045
200009654,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,300 BLOCK S STATE ST,ANN ARBOR,2020-03-06 11:08:00,LARCENY - RETAIL FRAUD,-83.74114229999998,42.278683700000045
200010115,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,1900 BLOCK S INDUSTRIAL HWY,ANN ARBOR,2020-03-09 14:19:00,LARCENY - RETAIL FRAUD,-83.73771879999998,42.257953100000066
200010272,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,300 BLOCK W HURON ST,ANN ARBOR,2020-03-10 20:41:00,ASSAULT - AGGRAVATED,-83.75166069999995,42.28180800000007
